time,temperature,load,hour,day,label
2023-06-01 00:00:00,0.5323602528773992,0.8539969942258898,0.0,0.5,high
2023-06-01 00:10:00,0.4929049945498807,0.7771045062843305,0.0,0.5,high
2023-06-01 00:20:00,0.5417412536425552,0.9142154070038457,0.0,0.5,high
2023-06-01 00:30:00,0.596131788645881,0.7475885791706043,0.0,0.5,high
2023-06-01 00:40:00,0.4869467952710439,0.7684650265816964,0.0,0.5,high
2023-06-01 00:50:00,0.48694781541198917,0.809732630269584,0.0,0.5,high
2023-06-01 01:00:00,0.6800331781134564,0.6945846345938151,0.043478260869565216,0.5,high
2023-06-01 01:10:00,0.629592231825012,0.8438675349786071,0.043478260869565216,0.5,high
2023-06-01 01:20:00,0.5527351851929482,0.9058459627236841,0.043478260869565216,0.5,high
2023-06-01 01:30:00,0.6156193343953075,0.738554749884065,0.043478260869565216,0.5,high
2023-06-01 01:40:00,0.5531115261383523,0.8046607550599763,0.043478260869565216,0.5,high
2023-06-01 01:50:00,0.5529678630677918,0.7440428075654397,0.043478260869565216,0.5,high
2023-06-01 02:00:00,0.6718718283386751,0.8286470996555819,0.08695652173913043,0.5,high
2023-06-01 02:10:00,0.5379528745915717,0.7742930532220365,0.08695652173913043,0.5,high
2023-06-01 02:20:00,0.5496570317663776,0.8182624492381525,0.08695652173913043,0.5,high
2023-06-01 02:30:00,0.6218986624120407,0.6924729267440444,0.08695652173913043,0.5,high
2023-06-01 02:40:00,0.5939035176046655,0.6560784684737306,0.08695652173913043,0.5,high
2023-06-01 02:50:00,0.6763633598817435,0.8461145823425054,0.08695652173913043,0.5,high
2023-06-01 03:00:00,0.6647601687190103,0.596972246760487,0.13043478260869565,0.5,medium
2023-06-01 03:10:00,0.6334260615934117,0.703509657149455,0.13043478260869565,0.5,high
2023-06-01 03:20:00,0.8122515909013448,0.8444563154617708,0.13043478260869565,0.5,high
2023-06-01 03:30:00,0.7071525712171821,0.6882899762303496,0.13043478260869565,0.5,high
2023-06-01 03:40:00,0.7253774494694428,0.8596053868856888,0.13043478260869565,0.5,high
2023-06-01 03:50:00,0.6326528064343007,0.8302285308246997,0.13043478260869565,0.5,high
2023-06-01 04:00:00,0.7367286578533738,0.6076185480721925,0.17391304347826086,0.5,medium
2023-06-01 04:10:00,0.7774469535470917,0.6840506947268186,0.17391304347826086,0.5,high
2023-06-01 04:20:00,0.6990360593916685,0.6243007704439445,0.17391304347826086,0.5,high
2023-06-01 04:30:00,0.7938991384469025,0.5410440281602136,0.17391304347826086,0.5,medium
2023-06-01 04:40:00,0.7332331161819211,0.6117245778264548,0.17391304347826086,0.5,medium
2023-06-01 04:50:00,0.7524298343403779,0.6469222771389305,0.17391304347826086,0.5,medium
2023-06-01 05:00:00,0.764204009138321,0.4956624719413219,0.21739130434782608,0.5,medium
2023-06-01 05:10:00,0.9166857247766576,0.6341909831360051,0.21739130434782608,0.5,medium
2023-06-01 05:20:00,0.800753207274546,0.567263112102409,0.21739130434782608,0.5,medium
